restaurant_id,restaurantName,rating,comment,createdAt,updatedAt,username,usercity,avatar
0,Konopelski - Aufderhar,1,Aut voluptatem qui enim exercitationem doloremque. Ut perferendis unde ex. Quisquam vel autem corporis. Aliquam repellat tempore est quo adipisci dolorem qui. Ea ipsum dignissimos voluptas quisquam voluptatem quisquam voluptatem voluptates fugit.,2010-5-23,2010-5-23,Freda.Jacobson,"Rohanfort, Minnesota",https://s3.amazonaws.com/uifaces/faces/twitter/1markiz/128.jpg
0,Konopelski - Aufderhar,1,Aut voluptatem qui enim exercitationem doloremque. Ut perferendis unde ex. Quisquam vel autem corporis. Aliquam repellat tempore est quo adipisci dolorem qui. Ea ipsum dignissimos voluptas quisquam voluptatem quisquam voluptatem voluptates fugit.,2010-5-23,2010-5-23,Freda.Jacobson,"Rohanfort, Minnesota",https://s3.amazonaws.com/uifaces/faces/twitter/1markiz/128.jpg
0,Konopelski - Aufderhar,1,Aut voluptatem qui enim exercitationem doloremque. Ut perferendis unde ex. Quisquam vel autem corporis. Aliquam repellat tempore est quo adipisci dolorem qui. Ea ipsum dignissimos voluptas quisquam voluptatem quisquam voluptatem voluptates fugit.,2010-5-23,2010-5-23,Freda.Jacobson,"Rohanfort, Minnesota",https://s3.amazonaws.com/uifaces/faces/twitter/1markiz/128.jpg
0,Konopelski - Aufderhar,1,Aut voluptatem qui enim exercitationem doloremque. Ut perferendis unde ex. Quisquam vel autem corporis. Aliquam repellat tempore est quo adipisci dolorem qui. Ea ipsum dignissimos voluptas quisquam voluptatem quisquam voluptatem voluptates fugit.,2010-5-23,2010-5-23,Freda.Jacobson,"Rohanfort, Minnesota",https://s3.amazonaws.com/uifaces/faces/twitter/1markiz/128.jpg
0,Konopelski - Aufderhar,1,Aut voluptatem qui enim exercitationem doloremque. Ut perferendis unde ex. Quisquam vel autem corporis. Aliquam repellat tempore est quo adipisci dolorem qui. Ea ipsum dignissimos voluptas quisquam voluptatem quisquam voluptatem voluptates fugit.,2010-5-23,2010-5-23,Freda.Jacobson,"Rohanfort, Minnesota",https://s3.amazonaws.com/uifaces/faces/twitter/1markiz/128.jpg
0,Konopelski - Aufderhar,1,Aut voluptatem qui enim exercitationem doloremque. Ut perferendis unde ex. Quisquam vel autem corporis. Aliquam repellat tempore est quo adipisci dolorem qui. Ea ipsum dignissimos voluptas quisquam voluptatem quisquam voluptatem voluptates fugit.,2010-5-23,2010-5-23,Freda.Jacobson,"Rohanfort, Minnesota",https://s3.amazonaws.com/uifaces/faces/twitter/1markiz/128.jpg
0,Konopelski - Aufderhar,1,Aut voluptatem qui enim exercitationem doloremque. Ut perferendis unde ex. Quisquam vel autem corporis. Aliquam repellat tempore est quo adipisci dolorem qui. Ea ipsum dignissimos voluptas quisquam voluptatem quisquam voluptatem voluptates fugit.,2010-5-23,2010-5-23,Freda.Jacobson,"Rohanfort, Minnesota",https://s3.amazonaws.com/uifaces/faces/twitter/1markiz/128.jpg
1,Brekke - Harris,3,Consequatur est corporis et est voluptatem beatae vitae. Praesentium et magni fuga et assumenda. Quam suscipit nobis voluptas sint natus aut vitae eveniet corporis. Reprehenderit occaecati quia quam ut ut id. Eum magni placeat consectetur. Non quo vel rerum est eos laboriosam.,2016-2-24,2016-2-24,Lavada57,"DuBuqueville, Illinois",https://s3.amazonaws.com/uifaces/faces/twitter/ryuchi311/128.jpg
1,Brekke - Harris,3,Consequatur est corporis et est voluptatem beatae vitae. Praesentium et magni fuga et assumenda. Quam suscipit nobis voluptas sint natus aut vitae eveniet corporis. Reprehenderit occaecati quia quam ut ut id. Eum magni placeat consectetur. Non quo vel rerum est eos laboriosam.,2016-2-24,2016-2-24,Lavada57,"DuBuqueville, Illinois",https://s3.amazonaws.com/uifaces/faces/twitter/ryuchi311/128.jpg
1,Brekke - Harris,3,Consequatur est corporis et est voluptatem beatae vitae. Praesentium et magni fuga et assumenda. Quam suscipit nobis voluptas sint natus aut vitae eveniet corporis. Reprehenderit occaecati quia quam ut ut id. Eum magni placeat consectetur. Non quo vel rerum est eos laboriosam.,2016-2-24,2016-2-24,Lavada57,"DuBuqueville, Illinois",https://s3.amazonaws.com/uifaces/faces/twitter/ryuchi311/128.jpg
